фгфгфгфггфгфгфгхфгхёёёёёёёёё????/...>>>>><<<.......>>>>..,,ббббюююьторг!!!"""###****:::,,,...;;;((()))))___++|||\\|
888777ёёёЮЮЮЮЮЮЮ```````ЁЁЁЁЁЁёёёё2022-12-10 20:10:58,344 p=1981 u=zimnyakovrs n=ansible | ERROR! Invalid callback for stdout specified: yaml
2022-12-10 20:14:17,244 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:17,561 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:17,662 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:17,763 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:18,093 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:18,195 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:18,296 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:18,626 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:18,727 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:18,828 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:18,928 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:19,167 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:19,267 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:19,368 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:19,469 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:19,569 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:19,670 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:19,962 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:20,064 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:20,165 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:20,484 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:20,586 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:20,687 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:20,788 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:21,064 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:21,164 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:21,265 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:21,365 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:21,466 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:21,567 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:21,667 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:21,927 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:22,027 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:22,128 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:22,228 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:22,329 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:22,430 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:22,700 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:22,800 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:22,901 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:23,001 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:23,242 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:23,342 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:23,443 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:23,544 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:23,702 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:23,979 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:24,079 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:24,400 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:24,501 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:24,602 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:24,702 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:24,803 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:24,906 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:25,154 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:25,255 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:25,355 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:25,679 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:25,781 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:25,881 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:25,982 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:26,265 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:26,366 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:26,467 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:26,568 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:26,878 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:26,980 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:27,081 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:27,412 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:27,513 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:27,614 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:27,716 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:27,969 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:28,070 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:28,170 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:28,492 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:28,593 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:28,694 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:29,009 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:29,111 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:29,211 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:29,312 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:29,624 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:29,726 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:29,826 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:30,148 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:30,250 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:30,350 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:30,451 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:30,687 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:30,787 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:30,888 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:31,216 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:31,317 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:31,417 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:31,726 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:31,827 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:31,928 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:32,028 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:32,315 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:32,416 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:32,517 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:32,845 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:32,947 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:33,047 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:33,367 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:33,468 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:33,569 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:33,669 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:33,770 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:33,870 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:34,141 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:34,242 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:34,343 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:34,661 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:34,762 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:34,863 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:34,964 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:35,064 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:35,165 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:35,265 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:35,366 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:35,467 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:35,567 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:35,668 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:35,768 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:35,869 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:36,205 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:36,306 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:36,407 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:36,744 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:36,845 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:36,946 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:37,047 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:37,147 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:37,248 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:37,509 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:37,609 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:37,710 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:38,031 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:38,133 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:38,233 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:38,334 p=2034 u=zimnyakovrs n=ansible | Starting collection install process
2022-12-10 20:14:38,335 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:38,335 p=2034 u=zimnyakovrs n=ansible | Downloading https://galaxy.ansible.com/download/community-general-6.1.0.tar.gz to /home/zimnyakovrs/.ansible/tmp/ansible-local-2034czvww2mv/tmpg6cccpjp/community-general-6.1.0-s2x3jg3s
2022-12-10 20:14:38,590 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:38,690 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:38,791 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:38,892 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:38,992 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:39,093 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:39,193 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:39,294 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:39,394 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:39,495 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:39,595 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:39,696 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:39,796 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:39,897 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:39,997 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:40,098 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:40,199 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:40,299 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:40,400 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:40,500 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:40,601 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:40,701 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:40,802 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:40,902 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:41,003 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:41,103 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:41,204 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:41,304 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:41,405 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:41,506 p=2034 u=zimnyakovrs n=ansible | Installing 'community.general:6.1.0' to '/home/zimnyakovrs/.ansible/collections/ansible_collections/community/general'
2022-12-10 20:14:41,506 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:41,607 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:41,709 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:41,810 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:41,911 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:42,016 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:42,117 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:42,219 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:42,319 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:42,420 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:42,521 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:42,622 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:42,723 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:42,823 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:42,924 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:43,026 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:43,127 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:43,227 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:43,328 p=2034 u=zimnyakovrs n=ansible | |
2022-12-10 20:14:43,429 p=2034 u=zimnyakovrs n=ansible | /
2022-12-10 20:14:43,530 p=2034 u=zimnyakovrs n=ansible | -
2022-12-10 20:14:43,631 p=2034 u=zimnyakovrs n=ansible | \
2022-12-10 20:14:43,731 p=2034 u=zimnyakovrs n=ansible | community.general:6.1.0 was installed successfully
2022-12-10 20:16:43,885 p=2038 u=zimnyakovrs n=ansible | PLAY [Ping all my hosts] ***************************************************************************************************************************************************************************************************************************************************************
2022-12-10 20:16:43,904 p=2038 u=zimnyakovrs n=ansible | TASK [Ping host] ***********************************************************************************************************************************************************************************************************************************************************************
2022-12-10 20:16:45,286 p=2038 u=zimnyakovrs n=ansible | fatal: [c7gnome]: UNREACHABLE! => changed=false 
  msg: 'Failed to connect to the host via ssh: ssh: connect to host 192.168.0.79 port 22: No route to host'
  unreachable: true
2022-12-10 20:16:47,043 p=2038 u=zimnyakovrs n=ansible | fatal: [alt10]: FAILED! => 
  msg: Incorrect sudo password
2022-12-10 20:16:47,717 p=2038 u=zimnyakovrs n=ansible | fatal: [a8_jenkins]: FAILED! => 
  msg: Incorrect sudo password
2022-12-10 20:16:47,794 p=2038 u=zimnyakovrs n=ansible | fatal: [a8_elk]: FAILED! => 
  msg: Incorrect sudo password
2022-12-10 20:16:47,815 p=2038 u=zimnyakovrs n=ansible | fatal: [ol79_81]: FAILED! => 
  msg: Incorrect sudo password
2022-12-10 20:16:48,091 p=2038 u=zimnyakovrs n=ansible | fatal: [a8_ansible]: FAILED! => 
  msg: Incorrect sudo password
2022-12-10 20:16:49,277 p=2038 u=zimnyakovrs n=ansible | fatal: [zorinos]: UNREACHABLE! => changed=false 
  msg: 'Failed to connect to the host via ssh: ssh: connect to host 192.168.0.99 port 22: No route to host'
  unreachable: true
2022-12-10 20:16:49,943 p=2038 u=zimnyakovrs n=ansible | fatal: [ol79_82]: FAILED! => 
  msg: Incorrect sudo password
2022-12-10 20:16:51,563 p=2038 u=zimnyakovrs n=ansible | fatal: [red73_87]: FAILED! => 
  msg: Incorrect sudo password
2022-12-10 20:16:51,564 p=2038 u=zimnyakovrs n=ansible | PLAY RECAP *****************************************************************************************************************************************************************************************************************************************************************************
2022-12-10 20:16:51,565 p=2038 u=zimnyakovrs n=ansible | a8_ansible                 : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2022-12-10 20:16:51,565 p=2038 u=zimnyakovrs n=ansible | a8_elk                     : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2022-12-10 20:16:51,565 p=2038 u=zimnyakovrs n=ansible | a8_jenkins                 : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2022-12-10 20:16:51,565 p=2038 u=zimnyakovrs n=ansible | alt10                      : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2022-12-10 20:16:51,565 p=2038 u=zimnyakovrs n=ansible | c7gnome                    : ok=0    changed=0    unreachable=1    failed=0    skipped=0    rescued=0    ignored=0   
2022-12-10 20:16:51,565 p=2038 u=zimnyakovrs n=ansible | ol79_81                    : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2022-12-10 20:16:51,566 p=2038 u=zimnyakovrs n=ansible | ol79_82                    : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2022-12-10 20:16:51,566 p=2038 u=zimnyakovrs n=ansible | red73_87                   : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2022-12-10 20:16:51,566 p=2038 u=zimnyakovrs n=ansible | zorinos                    : ok=0    changed=0    unreachable=1    failed=0    skipped=0    rescued=0    ignored=0   
2022-12-10 20:16:56,612 p=2214 u=zimnyakovrs n=ansible | PLAY [Ping all my hosts] ***************************************************************************************************************************************************************************************************************************************************************
2022-12-10 20:16:56,632 p=2214 u=zimnyakovrs n=ansible | TASK [Ping host] ***********************************************************************************************************************************************************************************************************************************************************************
2022-12-10 20:16:59,212 p=2214 u=zimnyakovrs n=ansible | fatal: [alt10]: FAILED! => 
  msg: Incorrect sudo password
2022-12-10 20:16:59,285 p=2214 u=zimnyakovrs n=ansible | fatal: [c7gnome]: UNREACHABLE! => changed=false 
  msg: 'Failed to connect to the host via ssh: ssh: connect to host 192.168.0.79 port 22: No route to host'
  unreachable: true
2022-12-10 20:17:00,025 p=2214 u=zimnyakovrs n=ansible | fatal: [a8_ansible]: FAILED! => 
  msg: Incorrect sudo password
2022-12-10 20:17:00,042 p=2214 u=zimnyakovrs n=ansible | fatal: [a8_jenkins]: FAILED! => 
  msg: Incorrect sudo password
2022-12-10 20:17:00,071 p=2214 u=zimnyakovrs n=ansible | fatal: [a8_elk]: FAILED! => 
  msg: Incorrect sudo password
2022-12-10 20:17:01,765 p=2214 u=zimnyakovrs n=ansible | fatal: [ol79_81]: FAILED! => 
  msg: Incorrect sudo password
2022-12-10 20:17:01,836 p=2214 u=zimnyakovrs n=ansible | fatal: [ol79_82]: FAILED! => 
  msg: Incorrect sudo password
2022-12-10 20:17:02,761 p=2214 u=zimnyakovrs n=ansible | fatal: [red73_87]: FAILED! => 
  msg: Incorrect sudo password
2022-12-10 20:17:02,779 p=2214 u=zimnyakovrs n=ansible | fatal: [zorinos]: UNREACHABLE! => changed=false 
  msg: 'Failed to connect to the host via ssh: ssh: connect to host 192.168.0.99 port 22: No route to host'
  unreachable: true
2022-12-10 20:17:02,781 p=2214 u=zimnyakovrs n=ansible | PLAY RECAP *****************************************************************************************************************************************************************************************************************************************************************************
2022-12-10 20:17:02,781 p=2214 u=zimnyakovrs n=ansible | a8_ansible                 : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2022-12-10 20:17:02,781 p=2214 u=zimnyakovrs n=ansible | a8_elk                     : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2022-12-10 20:17:02,781 p=2214 u=zimnyakovrs n=ansible | a8_jenkins                 : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2022-12-10 20:17:02,782 p=2214 u=zimnyakovrs n=ansible | alt10                      : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2022-12-10 20:17:02,782 p=2214 u=zimnyakovrs n=ansible | c7gnome                    : ok=0    changed=0    unreachable=1    failed=0    skipped=0    rescued=0    ignored=0   
2022-12-10 20:17:02,782 p=2214 u=zimnyakovrs n=ansible | ol79_81                    : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2022-12-10 20:17:02,782 p=2214 u=zimnyakovrs n=ansible | ol79_82                    : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2022-12-10 20:17:02,782 p=2214 u=zimnyakovrs n=ansible | red73_87                   : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2022-12-10 20:17:02,782 p=2214 u=zimnyakovrs n=ansible | zorinos                    : ok=0    changed=0    unreachable=1    failed=0    skipped=0    rescued=0    ignored=0   
2022-12-10 20:17:07,076 p=2369 u=zimnyakovrs n=ansible | PLAY [Ping all my hosts] ***************************************************************************************************************************************************************************************************************************************************************
2022-12-10 20:17:07,096 p=2369 u=zimnyakovrs n=ansible | TASK [Ping host] ***********************************************************************************************************************************************************************************************************************************************************************
2022-12-10 20:17:08,556 p=2369 u=zimnyakovrs n=ansible | ok: [alt10]
2022-12-10 20:17:08,857 p=2369 u=zimnyakovrs n=ansible | ok: [a8_jenkins]
2022-12-10 20:17:08,905 p=2369 u=zimnyakovrs n=ansible | ok: [a8_ansible]
2022-12-10 20:17:08,989 p=2369 u=zimnyakovrs n=ansible | ok: [a8_elk]
2022-12-10 20:17:09,537 p=2369 u=zimnyakovrs n=ansible | ok: [ol79_81]
2022-12-10 20:17:09,779 p=2369 u=zimnyakovrs n=ansible | fatal: [c7gnome]: UNREACHABLE! => changed=false 
  msg: 'Failed to connect to the host via ssh: ssh: connect to host 192.168.0.79 port 22: No route to host'
  unreachable: true
2022-12-10 20:17:10,085 p=2369 u=zimnyakovrs n=ansible | ok: [ol79_82]
2022-12-10 20:17:10,227 p=2369 u=zimnyakovrs n=ansible | ok: [red73_87]
2022-12-10 20:17:11,779 p=2369 u=zimnyakovrs n=ansible | fatal: [zorinos]: UNREACHABLE! => changed=false 
  msg: 'Failed to connect to the host via ssh: ssh: connect to host 192.168.0.99 port 22: No route to host'
  unreachable: true
2022-12-10 20:17:11,795 p=2369 u=zimnyakovrs n=ansible | PLAY RECAP *****************************************************************************************************************************************************************************************************************************************************************************
2022-12-10 20:17:11,795 p=2369 u=zimnyakovrs n=ansible | a8_ansible                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2022-12-10 20:17:11,795 p=2369 u=zimnyakovrs n=ansible | a8_elk                     : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2022-12-10 20:17:11,796 p=2369 u=zimnyakovrs n=ansible | a8_jenkins                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2022-12-10 20:17:11,796 p=2369 u=zimnyakovrs n=ansible | alt10                      : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2022-12-10 20:17:11,796 p=2369 u=zimnyakovrs n=ansible | c7gnome                    : ok=0    changed=0    unreachable=1    failed=0    skipped=0    rescued=0    ignored=0   
2022-12-10 20:17:11,796 p=2369 u=zimnyakovrs n=ansible | ol79_81                    : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2022-12-10 20:17:11,796 p=2369 u=zimnyakovrs n=ansible | ol79_82                    : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2022-12-10 20:17:11,796 p=2369 u=zimnyakovrs n=ansible | red73_87                   : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2022-12-10 20:17:11,796 p=2369 u=zimnyakovrs n=ansible | zorinos                    : ok=0    changed=0    unreachable=1    failed=0    skipped=0    rescued=0    ignored=0   
2022-12-10 20:17:28,081 p=2530 u=zimnyakovrs n=ansible | ERROR! the `loop_control` value must be specified as a dictionary and cannot be a variable itself (though it can contain variables)

The error appears to be in '/home/zimnyakovrs/GIT/Ansible1/pb_create_user.yml': line 44, column 21, but may
be elsewhere in the file depending on the exact syntax problem.

The offending line appears to be:

      loop: authorized_keys_list
      loop_control: authorized_keys
                    ^ here

2022-12-10 20:18:23,389 p=2582 u=zimnyakovrs n=ansible | ERROR! the `loop_control` value must be specified as a dictionary and cannot be a variable itself (though it can contain variables)

The error appears to be in '/home/zimnyakovrs/GIT/Ansible1/pb_create_user.yml': line 44, column 21, but may
be elsewhere in the file depending on the exact syntax problem.

The offending line appears to be:

      loop: authorized_keys_list
      loop_control: "gg"
                    ^ here

2022-12-10 20:18:46,235 p=2627 u=zimnyakovrs n=ansible | PLAY [Set timedatactl as Moscow] *******************************************************************************************************************************************************************************************************************************************************
2022-12-10 20:18:46,248 p=2627 u=zimnyakovrs n=ansible | TASK [Gathering Facts] *****************************************************************************************************************************************************************************************************************************************************************
2022-12-10 20:18:47,789 p=2627 u=zimnyakovrs n=ansible | fatal: [c7gnome]: UNREACHABLE! => changed=false 
  msg: 'Failed to connect to the host via ssh: ssh: connect to host 192.168.0.79 port 22: No route to host'
  unreachable: true
2022-12-10 20:18:49,740 p=2627 u=zimnyakovrs n=ansible | ok: [a8_elk]
2022-12-10 20:18:49,957 p=2627 u=zimnyakovrs n=ansible | ok: [ol79_81]
2022-12-10 20:18:50,632 p=2627 u=zimnyakovrs n=ansible | ok: [alt10]
2022-12-10 20:18:50,640 p=2627 u=zimnyakovrs n=ansible | ok: [a8_ansible]
2022-12-10 20:18:50,719 p=2627 u=zimnyakovrs n=ansible | ok: [a8_jenkins]
2022-12-10 20:18:51,716 p=2627 u=zimnyakovrs n=ansible | ok: [ol79_82]
2022-12-10 20:18:51,777 p=2627 u=zimnyakovrs n=ansible | fatal: [zorinos]: UNREACHABLE! => changed=false 
  msg: 'Failed to connect to the host via ssh: ssh: connect to host 192.168.0.99 port 22: No route to host'
  unreachable: true
2022-12-10 20:18:53,199 p=2627 u=zimnyakovrs n=ansible | ok: [red73_87]
